position_0,position_1,position_2,density,radius
5.059250318430725743e-03,1.432050181786894165e-03,1.640646533061967450e-04,4.386057432467924627e+03,4.148776609302029067e-05
5.386076755071095984e-03,9.989007262489961025e-04,4.575754662627242808e-04,4.386053726090655800e+03,3.977289876100854660e-05
6.761027241580883085e-03,5.680400234027511075e-04,4.776634359396778268e-04,4.386037367766884927e+03,3.394218681047379577e-05
5.484846955923152953e-03,1.223947674159219737e-03,5.359470581458276135e-04,4.386067009584195148e+03,4.072520159269882675e-05
1.226999976951596849e-02,1.452458260860414328e-04,2.008302007471162093e-04,4.386049664178573039e+03,2.466466225313412652e-05
5.422074784382497140e-03,1.873751818585066590e-03,5.648151981563515490e-04,4.386065362163569262e+03,2.752361954222304596e-05
6.326711819780275400e-03,1.331694232909945473e-03,4.894699246851249913e-04,4.386046047331181398e+03,2.269858606256014064e-05
6.317658634288849176e-03,3.940167566160776959e-04,3.592300033916753831e-05,4.386085484998248830e+03,2.986604422297552670e-05
8.063263013952912811e-03,1.774225565044659000e-03,5.169198406944474494e-04,4.386062300895065164e+03,3.085509255565975967e-05
5.279830838712383512e-03,4.258287976342226173e-04,2.501542760811876868e-04,4.386080132366369071e+03,2.895988542037705710e-05
1.166781498683105642e-02,1.215198540501392140e-03,3.072568057504639636e-04,4.386050597031065990e+03,3.801660153954211901e-05
9.824946158366768684e-03,2.169216438766418829e-04,2.879546426918871646e-04,4.386048903066751336e+03,3.036433590523616134e-05
1.374315923972968534e-02,2.008665399997849161e-04,3.104268298911493844e-04,4.386061492645510043e+03,2.912649941593547487e-05
6.925682974714804374e-03,1.077182433322109627e-03,3.394009398214410038e-04,4.386069521970282040e+03,3.312380346521187825e-05
9.684041100431944882e-03,1.685928341986132287e-03,2.396361671768938229e-04,4.386079754800826777e+03,2.624754038903534301e-05
9.084863958356132613e-03,5.847681097130704928e-05,4.520497996926208201e-04,4.386042438481356839e+03,3.743829426869039144e-05
6.567561737097023580e-03,1.617832186299673859e-03,1.706941561865332052e-04,4.386063902284876349e+03,2.413144733315541823e-05
4.150538879353615589e-03,3.408993790828883201e-04,5.474568783226645835e-04,4.386036641993465309e+03,4.524851810498424650e-05
7.163318955417625339e-03,2.464688744649178617e-04,9.934436898737100197e-05,4.386051902951989177e+03,3.683899730545742390e-05
7.067337503919877105e-03,1.007942511089160068e-04,3.062594257205320924e-04,4.386034789114006344e+03,2.758072384147474548e-05
6.115723649029178484e-03,1.037921357064852321e-03,9.747924663252513229e-05,4.386043479307882080e+03,1.812279857792210608e-05
8.239385403445643324e-03,1.188446691744461745e-03,7.024348057218280869e-05,4.386074620597639296e+03,3.772090515688725985e-05
7.934902946758210646e-03,6.191336936276262658e-04,1.627361238435820045e-04,4.386032513561038286e+03,3.566519192047727069e-05
9.947129881159979051e-03,1.170700738736371333e-03,3.689973791350525402e-04,4.386055621172242354e+03,3.604636116562699391e-05
5.590114376041994612e-03,5.871989816309885557e-04,1.471866851071934124e-04,4.386053908407706331e+03,3.682028162202998677e-05
9.322007364946156838e-03,9.240088489930420269e-04,2.063597318069728564e-04,4.386030562961047508e+03,2.411074622480547010e-05
